occurrenceID,materialEntityID,basisOfRecord,datasetName,institutionCode,catalogNumber,materialEntityCategory,materialEntityType,taxonID,scientificName,scientificNameAuthorship,originalNameUsage,higherClassification,locationID,locality,island,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,associatedReferences,materialEntityRemarks,occurrenceRemarks,taxonRemarks,locationRemarks,dynamicProperties
MAS-SP-0077,MAS-SP-0077,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9078,fossil,,MAS-TAX-0015,Papasula abbotti nelsoni,"Hume, 2023","Papasula abbotti nelsoni Hume, 2023",,MAS-LOC-0006,,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,"Papasula abbotti nelsoni Hume, 2023. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,NHMUK locality mapping has no named locality; retained for specimen linkage and requires resolution.,"{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0078,MAS-SP-0078,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9077,fossil,,MAS-TAX-0015,Papasula abbotti nelsoni,"Hume, 2023","Papasula abbotti nelsoni Hume, 2023",,MAS-LOC-0006,,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,"Papasula abbotti nelsoni Hume, 2023. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,NHMUK locality mapping has no named locality; retained for specimen linkage and requires resolution.,"{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0079,MAS-SP-0079,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9076,fossil,,MAS-TAX-0015,Papasula abbotti nelsoni,"Hume, 2023","Papasula abbotti nelsoni Hume, 2023",,MAS-LOC-0006,,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,"Papasula abbotti nelsoni Hume, 2023. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,NHMUK locality mapping has no named locality; retained for specimen linkage and requires resolution.,"{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0080,MAS-SP-0080,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9049,fossil,,MAS-TAX-0015,Papasula abbotti nelsoni,"Hume, 2023","Papasula abbotti nelsoni Hume, 2023",,MAS-LOC-0006,,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,"Papasula abbotti nelsoni Hume, 2023. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,NHMUK locality mapping has no named locality; retained for specimen linkage and requires resolution.,"{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0081,MAS-SP-0081,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9038,fossil,,MAS-TAX-0016,Papasula abbotti,,Papasula abbotti,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE.,"Papasula abbotti. NON-TYPE. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0082,MAS-SP-0082,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55721,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0083,MAS-SP-0083,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55729,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0084,MAS-SP-0084,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55725,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0085,MAS-SP-0085,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55727,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0086,MAS-SP-0086,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55723,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0087,MAS-SP-0087,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55722,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0088,MAS-SP-0088,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55726,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0089,MAS-SP-0089,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55728,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0090,MAS-SP-0090,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55724,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0091,MAS-SP-0091,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55762,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0092,MAS-SP-0092,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55766,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0093,MAS-SP-0093,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55768,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0094,MAS-SP-0094,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55760,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0095,MAS-SP-0095,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55764,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0096,MAS-SP-0096,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55767,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0097,MAS-SP-0097,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55763,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0098,MAS-SP-0098,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55765,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0099,MAS-SP-0099,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55761,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0100,MAS-SP-0100,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55769,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0101,MAS-SP-0101,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55785,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0102,MAS-SP-0102,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55781,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0103,MAS-SP-0103,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55789,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0104,MAS-SP-0104,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55783,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0105,MAS-SP-0105,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55787,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0106,MAS-SP-0106,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55786,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0107,MAS-SP-0107,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55782,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0108,MAS-SP-0108,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55784,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0109,MAS-SP-0109,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55780,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0110,MAS-SP-0110,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55788,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0111,MAS-SP-0111,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55810,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0112,MAS-SP-0112,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55818,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0113,MAS-SP-0113,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV M 55814,fossil,,,,,,,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,"Quaternary. Mare aux Songes, Mauritius. Presented, Person String; Rothschild, 1937",,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""B"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
